first,second,third,freq
professor,flitwick,standing,56
order,merlin,third,56
please,professor,snape,56
professor,dumbledore,stepped,55
professor,dumbledore,waiting,55
death,eater,professor,55
half,moon,spectacles,55
professor,dumbledore,died,55
meet,professor,mcgonagall,55
around,professor,mcgonagall,55
door,swung,open,55
professor,mcgonagall,thought,55
professor,flitwick,stood,55
snape,potions,professor,55
professor,mcgonagall,demanded,55
went,professor,snape,55
potions,class,professor,55
professor,snape,finally,55
went,see,professor,55
professor,snape,knows,55
professor,mcgonagall,lips,55
professor,snape,spoke,55
show,professor,snape,55
walked,professor,mcgonagall,55
sir,professor,snape,55
talked,professor,mcgonagall,55
made,way,back,55
talking,professor,dumbledore,55
firs,years,professor,54
one,professor,dumbledore,54
seeing,professor,snape,54
looked,like,professor,54
however,professor,mcgonagall,54
without,another,word,54
professor,snape,madam,54
something,professor,dumbledore,54
old,transfiguration,professor,54
professor,dumbledore,knows,54
could,hear,professor,54
professor,flitwick,class,54
open,professor,mcgonagall,54
professor,mcgonagall,showed,54
professor,mcgonagall,take,54
madam,hooch,professor,54
harry,said,quietly,54
RRB,professor,snape,54
professor,lupin,smiled,54
professor,mcgonagall,shouted,54
sn,professor,snape,54
professor,flitwick,taught,54
professor,mcgonagall,exclaimed,54
watched,professor,snape,54
professor,flitwick,head,54
anything,professor,snape,54
followed,professor,snape,54
relationship,professor,snape,54
merlin,third,class,54
witch,weekly,charming,54
said,professor,grubbly,54
>>,>>,>>,54
professor,snape,go,53
need,speak,professor,53
think,professor,lupin,53
professor,slughorn,looked,53
make,sure,professor,53
time,professor,dumbledore,53
year,professor,dumbledore,53
good,see,professor,53
see,professor,sprout,53
professor,trelawney,made,53
professor,snape,time,53
professor,lupin,taught,53
professor,snape,returned,53
eyes,professor,snape,53
professor,dumbledore,always,53
sitting,behind,desk,53
oh,hello,professor,53
came,professor,snape,53
finally,professor,mcgonagall,53
yes,professor,replied,53
potions,professor,would,53
spoke,professor,mcgonagall,53
professor,mcgonagall,ordered,53
professor,dumbledore,put,53
winner,witch,weekly,53
weekly,charming,smile,53
went,professor,mcgonagall,53
remus,professor,mcgonagall,53
severus,professor,snape,52
greasy,haired,professor,52
saw,professor,lupin,52
professor,dumbledore,death,52
harry,could,help,52
professor,mcgonagall,decided,52
headmistress,professor,mcgonagall,52
walked,great,hall,52
professor,hermione,granger,52
professor,dumbledore,rose,52
professor,mcgonagall,held,52
barty,crouch,jr,52
professor,snape,LRB,52
professor,mcgonagall,ron,52
professor,mcgonagall,saw,52
professor,snape,brought,52
pay,attention,professor,52
us,professor,snape,52
