first,second,third,freq
professor,pomona,sprout,43
professor,dumbledore,make,43
professor,dumbledore,even,43
magic,professor,binns,43
could,professor,snape,43
albus,percival,wulfric,43
percival,wulfric,brian,43
beloved,defence,dark,43
remember,professor,snape,42
look,professor,dumbledore,42
took,one,look,42
left,professor,snape,42
magical,law,enforcement,42
hall,professor,dumbledore,42
let,go,professor,42
new,muggle,studies,42
potions,master,hogwarts,42
wait,professor,snape,42
potions,professor,head,42
class,professor,slughorn,42
professor,made,way,42
talk,professor,lupin,42
professor,dumbledore,madam,42
table,professor,dumbledore,42
professor,snape,watching,42
malfoy,professor,mcgonagall,42
go,ask,professor,42
professor,snape,assigned,42
professor,mcgonagall,new,42
yes,course,professor,42
professor,snape,quite,42
professor,mcgonagall,quickly,42
year,defense,dark,42
third,year,professor,42
sirius,black,professor,42
course,professor,said,42
closing,door,behind,42
asking,professor,snape,42
professor,snape,death,42
five,time,winner,42
professor,mcgonagall,kingsley,42
evening,professor,mcgonagall,42
made,professor,snape,41
professor,snape,ca,41
harry,noticed,professor,41
take,care,professor,41
mcgonagall,said,sternly,41
robes,billowing,behind,41
professor,dumbledore,may,41
professor,dumbledore,never,41
binns,history,magic,41
harry,turned,back,41
hear,professor,snape,41
professor,lupin,best,41
assistant,professor,snape,41
severus,professor,mcgonagall,41
word,professor,mcgonagall,41
professor,snape,kind,41
work,professor,snape,41
later,professor,dumbledore,41
want,professor,snape,41
professor,mcgonagall,ask,41
albus,dumbledore,headmaster,41
mcgonagall,professor,sprout,41
professor,snape,longer,41
night,professor,mcgonagall,41
would,like,speak,41
eleven,year,old,41
around,professor,snape,41
professor,flitwick,announced,41
yes,thank,professor,41
professor,snape,tells,41
ever,since,professor,41
slytherin,head,house,41
league,five,time,41
professor,snape,drawled,41
professor,mcgonagall,finished,41
however,professor,dumbledore,41
professor,mcgonagall,giving,41
thing,professor,snape,41
8,8,8,41
draught,living,death,40
professor,mcgonagall,coming,40
face,face,professor,40
professor,lupin,went,40
shouted,professor,mcgonagall,40
head,table,professor,40
hated,potions,professor,40
leave,professor,mcgonagall,40
harry,looked,around,40
good,luck,professor,40
please,said,professor,40
professor,dumbledore,started,40
professor,longbottom,asked,40
please,welcome,professor,40
castle,professor,mcgonagall,40
morning,professor,dumbledore,40
want,talk,professor,40
along,professor,snape,40
leave,professor,snape,40
professor,snape,teacher,40
thanks,professor,snape,40
professor,sprout,head,40
professor,dumbledore,really,40
saw,professor,flitwick,40
see,later,professor,40
professor,snape,side,40
professor,snape,since,40
professor,mcgonagall,instructed,40
professor,mcgonagall,taught,40
professor,mcgonagall,remus,40
professor,lupin,turned,40
word,professor,snape,40
professor,mcgonagall,warned,40
ask,professor,slughorn,40
meeting,professor,snape,40
professor,gilderoy,lockhart,40
professor,snape,felt,40
hermione,could,see,40
professor,lupin,called,40
entered,common,room,40
like,introduce,new,39
professor,dumbledore,held,39
professor,slughorn,called,39
hello,professor,lupin,39
ex,potions,professor,39
ginny,professor,mcgonagall,39
professor,neville,said,39
hermione,shook,head,39
potions,master,head,39
opened,professor,dumbledore,39
turned,professor,dumbledore,39
come,professor,mcgonagall,39
professor,mcgonagall,noticed,39
madam,pomfrey,said,39
professor,mcgonagall,time,39
professor,mcgonagall,must,39
kettleburn,care,magical,39
snape,professor,lupin,39
professor,snape,pulled,39
professor,snape,mean,39
miss,granger,said,39
hermione,said,professor,39
late,professor,snape,39
professor,alastor,moody,39
points,gryffindor,professor,39
professor,said,draco,39
professor,snape,quickly,39
professor,mcgonagall,give,39
professor,simona,said,39
called,professor,dumbledore,39
well,professor,lupin,39
known,professor,snape,39
professor,dumbledore,sighed,39
professor,umbridge,office,39
made,way,towards,39
said,professor,potter,39
professor,snape,killed,39
morning,professor,umbridge,39
snape,would,like,39
walked,professor,snape,38
great,hall,breakfast,38
let,professor,dumbledore,38
helping,professor,sprout,38
flitwick,professor,sprout,38
professor,mcgonagall,hurried,38
snape,madam,pomfrey,38
way,great,hall,38
professor,harry,started,38
professor,lupin,looking,38
professor,mcgonagall,mouth,38
professor,mcgonagall,waved,38
professor,snape,ask,38
even,professor,flitwick,38
even,professor,lupin,38
third,floor,corridor,38
professor,mcgonagall,LRB,38
room,professor,dumbledore,38
professor,lupin,back,38
professor,flitwick,let,38
say,professor,dumbledore,38
professor,mcgonagall,wand,38
vanquish,dark,lord,38
professor,mcgonagall,though,38
snape,death,eater,38
professor,snape,neville,38
professor,dumbledore,please,38
came,professor,dumbledore,38
professor,dumbledore,talking,38
idea,professor,snape,38
er,professor,snape,38
defence,league,five,38
good,morning,class,37
professor,quirrell,came,37
waiting,professor,mcgonagall,37
mouth,say,something,37
wing,professor,mcgonagall,37
breakfast,professor,mcgonagall,37
please,tell,professor,37
mother,professor,snape,37
leaned,back,chair,37
calling,professor,snape,37
professor,snape,bad,37
professor,snape,working,37
master,head,slytherin,37
professor,snape,hogwarts,37
professor,snape,taking,37
snape,said,harry,37
glanced,professor,snape,37
professor,dumbledore,gone,37
professor,dumbledore,mentioned,37
professor,snape,saved,37
professor,sprout,greenhouses,37
professor,mcgonagall,cut,37
charm,professor,flitwick,37
teacher,professor,lupin,37
mcgonagall,harry,said,37
knocked,door,professor,37
professor,mcgonagall,last,37
professor,snape,dead,37
professor,snape,decided,37
hogwarts,potions,professor,37
time,see,professor,37
first,time,ever,37
professor,snape,door,37
professor,snape,house,37
harry,could,tell,37
mrs,weasley,professor,37
mean,professor,mcgonagall,37
enough,professor,snape,37
professor,lupin,nodded,37
professor,mcgonagall,trying,37
mcgonagall,head,house,37
professor,kettleburn,care,37
course,professor,dumbledore,37
professor,lupin,one,37
professor,snape,great,37
anything,else,professor,37
closed,door,behind,37
professor,lupin,going,37
cleared,throat,loudly,37
professor,dumbledore,orders,37
harry,could,hear,37
power,vanquish,dark,37
tell,professor,trelawney,37
points,professor,snape,37
professor,snape,malfoy,37
mean,professor,dumbledore,37
flitwick,charms,teacher,37
professor,dumbledore,great,37
professor,snape,two,37
potions,professor,could,36
oh,come,professor,36
really,sorry,professor,36
like,professor,flitwick,36
professor,mcgonagall,really,36
much,professor,mcgonagall,36
snape,would,never,36
detentions,professor,snape,36
mcgonagall,raised,eyebrow,36
professor,mcgonagall,words,36
perhaps,professor,dumbledore,36
professor,dumbledore,sirius,36
sure,professor,lupin,36
professor,mcgonagall,glanced,36
professor,snape,moved,36
professor,dumbledore,agreed,36
professor,slughorn,gave,36
professor,raised,eyebrow,36
professor,dumbledore,might,36
professor,dumbledore,suggested,36
professor,snape,swept,36
professor,lupin,left,36
long,professor,snape,36
done,professor,snape,36
harry,ron,professor,36
professor,sprout,called,36
talk,professor,flitwick,36
know,professor,slughorn,36
slughorn,christmas,party,36
professor,slughorn,walked,36
professor,flitwick,walked,36
evening,professor,said,36
professor,mcgonagall,sharply,36
professor,quirrell,said,36
flitwick,charms,professor,36
gone,professor,mcgonagall,36
led,first,years,36
years,professor,snape,36
professor,dumbledore,first,36
reason,professor,snape,36
anything,professor,mcgonagall,36
aware,professor,snape,36
professor,snape,mentioned,36
hand,professor,mcgonagall,36
taking,care,magical,36
oh,professor,mcgonagall,36
professor,snape,died,36
yeah,professor,snape,36
mcgonagall,professor,slughorn,36
harry,made,way,36
excuse,professor,snape,36
watching,professor,snape,36
one,power,vanquish,36
said,professor,weasley,36
wand,professor,snape,36
professor,snape,suddenly,36
sounded,like,professor,36
stopped,professor,mcgonagall,36
professor,mcgonagall,whispered,36
sorting,hat,head,36
mister,potter,professor,36
dumbledore,said,professor,36
professor,mason,said,36
dumbledore,held,hand,35
gryffindor,head,house,35
head,boy,girl,35
arrived,professor,mcgonagall,35
professor,snape,remus,35
harry,hermione,ron,35
professor,snape,teach,35
head,professor,mcgonagall,35
wanted,talk,professor,35
left,professor,dumbledore,35
professor,dumbledore,finally,35
thought,professor,dumbledore,35
professor,dumbledore,returned,35
professor,snape,walking,35
looking,professor,dumbledore,35
opened,mouth,say,35
professor,snape,dark,35
need,get,professor,35
give,professor,mcgonagall,35
hagrid,professor,dumbledore,35
gryffindor,house,professor,35
professor,professor,snape,35
conversation,professor,snape,35
professor,dumbledore,believes,35
mcgonagall,came,back,35
professor,may,ask,35
stood,professor,mcgonagall,35
professor,dumbledore,need,35
professor,lupin,stood,35
could,feel,professor,35
new,herbology,professor,35
going,ask,professor,35
professor,flitwick,nodded,35
professor,snape,hand,35
talked,professor,snape,35
professor,sprout,took,35
got,professor,snape,35
mcgonagall,opened,door,35
professor,mcgonagall,glared,35
professor,snape,finished,35
new,first,years,35
swung,open,professor,35
us,professor,mcgonagall,35
professor,binns,would,35
someone,like,professor,35
professor,snape,miss,35
first,year,hogwarts,35
harry,said,looking,35
severus,tobias,snape,35
would,like,know,35
harry,heard,professor,35
professor,mcgonagall,pointed,35
raised,hand,professor,35
professor,mcgonagall,great,35
waited,professor,mcgonagall,35
professor,mcgonagall,motioned,35
potions,teacher,professor,35
sir,professor,dumbledore,35
right,professor,said,35
wonder,professor,snape,35
professor,lupin,replied,35
report,professor,snape,35
think,professor,flitwick,35
mcgonagall,said,sharply,35
professor,remus,said,35
professor,dumbledore,come,35
professor,dumbledore,hand,35
professor,longbottom,office,35
professor,snape,watched,35
maybe,professor,dumbledore,34
headmaster,office,professor,34
ron,professor,snape,34
talking,professor,flitwick,34
voice,professor,dumbledore,34
professor,snape,helping,34
professor,trelawney,would,34
diminutive,charms,professor,34
weasley,said,professor,34
well,professor,flitwick,34
next,day,professor,34
letter,professor,lupin,34
professor,mcgonagall,morning,34
remus,lupin,professor,34
professor,sirius,black,34
potter,mr,weasley,34
sight,professor,snape,34
remembered,professor,snape,34
introduce,assistant,professor,34
professor,snape,held,34
understand,professor,snape,34
professor,mcgonagall,suggested,34
three,legged,stool,34
professor,dumbledore,must,34
shook,head,professor,34
professor,flitwick,says,34
harry,thought,professor,34
harry,said,quickly,34
outside,professor,snape,34
long,roll,parchment,34
professor,dumbledore,wishes,34
draco,malfoy,professor,34
thank,professor,replied,34
merlin,first,class,34
meet,professor,dumbledore,34
professor,snape,kill,34
professor,mcgonagall,need,34
good,bye,professor,34
professor,mcgonagall,go,34
wand,professor,mcgonagall,34
merry,christmas,professor,34
finished,professor,mcgonagall,34
us,professor,dumbledore,34
ask,professor,sprout,34
professor,snape,showed,34
professor,snape,yet,34
gryffindor,quidditch,team,34
suddenly,professor,mcgonagall,34
sorry,professor,hermione,34
professor,mcgonagall,flitwick,34
professor,snape,rather,34
professor,mcgonagall,room,34
really,professor,snape,34
led,professor,mcgonagall,34
noticed,professor,dumbledore,34
door,professor,dumbledore,34
professor,sprout,could,34
told,professor,flitwick,34
placed,hat,head,34
professor,snape,school,34
professor,snape,believe,34
lesson,professor,mcgonagall,34
professor,mcgonagall,ginny,34
know,professor,flitwick,34
professor,remington,q,34
remington,q,gillworth,34
q,gillworth,third,34
toward,professor,mcgonagall,33
perhaps,professor,snape,33
professor,dumbledore,face,33
happened,professor,dumbledore,33
professor,mcgonagall,barked,33
mr,potter,miss,33
professor,mcgonagall,striding,33
professor,turned,around,33
professor,dumbledore,tried,33
professor,dumbledore,used,33
going,professor,dumbledore,33
transfiguration,professor,hogwarts,33
remember,professor,dumbledore,33
glanced,professor,mcgonagall,33
back,professor,grubbly,33
good,professor,mcgonagall,33
professor,lupin,took,33
professor,dumbledore,get,33
going,talk,professor,33
eyes,professor,mcgonagall,33
professor,mcgonagall,gone,33
professor,snape,new,33
albus,professor,mcgonagall,33
professor,mcgonagall,door,33
looks,like,professor,33
sorry,professor,mean,33
professor,dumbledore,granted,33
twenty,points,gryffindor,33
professor,miss,granger,33
professor,snape,rooms,33
professor,snape,smiled,33
harry,professor,flitwick,33
professor,mcgonagall,happened,33
turned,around,saw,33
owl,professor,mcgonagall,33
professor,hermione,began,33
mcgonagall,would,like,33
professor,slughorn,christmas,33
serve,detention,professor,33
professor,mcgonagall,almost,33
professor,flitwick,began,33
trust,professor,dumbledore,33
telling,professor,snape,33
order,merlin,first,33
minerva,mcgonagall,professor,33
introduce,new,defense,33
enough,professor,mcgonagall,33
tell,professor,lupin,33
nearly,headless,nick,33
position,defence,dark,33
speaking,professor,dumbledore,33
without,professor,snape,33
heard,professor,flitwick,33
new,care,magical,33
professor,vector,arithmancy,33
professor,snape,helped,33
need,professor,snape,33
p,professor,dumbledore,33
professor,dumbledore,stopped,33
inform,professor,snape,33
professor,snape,opened,33
sure,enough,professor,33
professor,draco,malfoy,33
professor,albus,percival,33
said,professor,valon,33
professor,snape,snape,33
headmaster,albus,dumbledore,33
get,professor,flitwick,33
mcgonagall,madame,pomfrey,33
hermione,asked,professor,33
call,professor,dumbledore,33
professor,snape,thank,33
professor,grubby,plank,33
hogwarts,beloved,defence,33
professor,crystal,stated,33
gillworth,third,esquire,33
professor,flitwick,already,32
professor,need,talk,32
professor,mcgonagall,insisted,32
professor,slughorn,still,32
professor,mcgonagall,pushed,32
professor,dumbledore,help,32
